2025-08-26 20:56:00 | 192.168.1.137 | level: Verde | pkt_count: 5 
2025-08-26 20:57:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-26 20:56:00 | 192.168.1.143 | level: Amarelo | pkt_count: 222 
2025-08-26 20:57:00 | 192.168.1.143 | level: Verde | pkt_count: 39 
2025-08-26 20:56:00 | 192.168.1.149 | level: Verde | pkt_count: 22 
2025-08-26 20:57:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-26 20:56:00 | 192.168.1.184 | level: Amarelo | pkt_count: 186 
2025-08-26 20:57:00 | 192.168.1.184 | level: Verde | pkt_count: 26 
2025-08-26 20:56:00 | 192.168.1.254 | level: Verde | pkt_count: 9 
2025-08-26 20:56:00 | 213.13.23.52 | level: Amarelo | pkt_count: 34 
2025-08-26 20:57:00 | 213.13.23.52 | level: Verde | pkt_count: 1 
2025-08-26 20:56:00 | 213.13.23.62 | level: Amarelo | pkt_count: 15 
2025-08-26 20:56:00 | 51.132.193.104 | level: Verde | pkt_count: 12 
2025-08-26 20:58:00 | 192.168.1.143 | level: Amarelo | pkt_count: 281 
2025-08-26 20:59:00 | 192.168.1.143 | level: Verde | pkt_count: 9 
2025-08-26 20:58:00 | 192.168.1.149 | level: Verde | pkt_count: 30 
2025-08-26 20:59:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-26 20:58:00 | 192.168.1.184 | level: Amarelo | pkt_count: 148 
2025-08-26 20:59:00 | 192.168.1.184 | level: Verde | pkt_count: 6 
2025-08-26 20:58:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-26 20:58:00 | 213.13.23.62 | level: Amarelo | pkt_count: 21 
2025-08-26 20:58:00 | 4.231.128.59 | level: Amarelo | pkt_count: 75 
2025-08-26 20:59:00 | 192.168.1.143 | level: Verde | pkt_count: 48 
2025-08-26 20:59:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-26 20:59:00 | 192.168.1.184 | level: Verde | pkt_count: 21 
2025-08-26 20:59:00 | 20.189.173.1 | level: Verde | pkt_count: 2 
2025-08-26 20:59:00 | 20.73.194.208 | level: Verde | pkt_count: 23 
2025-08-27 18:38:00 | 192.168.1.100 | level: Verde | pkt_count: 16 
2025-08-27 18:39:00 | 192.168.1.100 | level: Verde | pkt_count: 15 
2025-08-27 18:38:00 | 192.168.1.143 | level: Verde | pkt_count: 39 
2025-08-27 18:39:00 | 192.168.1.143 | level: Verde | pkt_count: 62 
2025-08-27 18:38:00 | 192.168.1.149 | level: Verde | pkt_count: 14 
2025-08-27 18:39:00 | 192.168.1.149 | level: Verde | pkt_count: 18 
2025-08-27 18:38:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-27 18:39:00 | 35.170.88.220 | level: Verde | pkt_count: 8 
2025-08-27 18:44:00 | 192.168.1.100 | level: Verde | pkt_count: 43 
2025-08-27 18:44:00 | 192.168.1.143 | level: Amarelo | pkt_count: 132 
2025-08-27 18:44:00 | 192.168.1.149 | level: Verde | pkt_count: 30 
2025-08-27 18:44:00 | 192.168.1.254 | level: Verde | pkt_count: 20 
2025-08-27 18:44:00 | 192.168.1.91 | level: Verde | pkt_count: 1 
2025-08-27 18:44:00 | 20.189.173.2 | level: Verde | pkt_count: 1 
2025-08-27 18:44:00 | 40.79.150.120 | level: Verde | pkt_count: 36 
2025-08-27 18:44:00 | 52.178.17.233 | level: Verde | pkt_count: 8 
2025-08-27 18:52:00 | 104.18.156.37 | level: Verde | pkt_count: 2 
2025-08-27 18:51:00 | 13.89.179.14 | level: Verde | pkt_count: 7 
2025-08-27 18:52:00 | 172.64.151.57 | level: Verde | pkt_count: 2 
2025-08-27 18:51:00 | 192.168.1.100 | level: Verde | pkt_count: 2 
2025-08-27 18:52:00 | 192.168.1.100 | level: Verde | pkt_count: 38 
2025-08-27 18:52:00 | 192.168.1.137 | level: Verde | pkt_count: 6 
2025-08-27 18:51:00 | 192.168.1.143 | level: Verde | pkt_count: 17 
2025-08-27 18:52:00 | 192.168.1.143 | level: Verde | pkt_count: 116 
2025-08-27 18:51:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-27 18:52:00 | 192.168.1.149 | level: Verde | pkt_count: 39 
2025-08-27 18:52:00 | 192.168.1.254 | level: Verde | pkt_count: 15 
2025-08-27 18:52:00 | 20.44.10.123 | level: Verde | pkt_count: 1 
2025-08-27 18:54:00 | 104.208.16.95 | level: Verde | pkt_count: 8 
2025-08-27 18:53:00 | 192.168.1.100 | level: Verde | pkt_count: 2 
2025-08-27 18:54:00 | 192.168.1.100 | level: Verde | pkt_count: 34 
2025-08-27 18:53:00 | 192.168.1.143 | level: Verde | pkt_count: 40 
2025-08-27 18:54:00 | 192.168.1.143 | level: Amarelo | pkt_count: 177 
2025-08-27 18:53:00 | 192.168.1.149 | level: Verde | pkt_count: 6 
2025-08-27 18:54:00 | 192.168.1.149 | level: Verde | pkt_count: 30 
2025-08-27 18:54:00 | 192.168.1.254 | level: Verde | pkt_count: 30 
2025-08-27 18:53:00 | 20.189.173.25 | level: Verde | pkt_count: 24 
2025-08-27 18:54:00 | 20.189.173.25 | level: Verde | pkt_count: 36 
2025-08-27 18:56:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 18:56:00 | 192.168.1.143 | level: Verde | pkt_count: 28 
2025-08-27 18:56:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 18:56:00 | 20.42.65.90 | level: Verde | pkt_count: 8 
2025-08-27 18:56:00 | 51.116.253.168 | level: Verde | pkt_count: 2 
2025-08-27 18:57:00 | 192.168.1.100 | level: Verde | pkt_count: 2 
2025-08-27 18:56:00 | 192.168.1.143 | level: Verde | pkt_count: 10 
2025-08-27 18:57:00 | 192.168.1.143 | level: Verde | pkt_count: 12 
2025-08-27 18:57:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 18:56:00 | 20.189.173.3 | level: Verde | pkt_count: 8 
2025-08-27 18:57:00 | 192.168.1.100 | level: Verde | pkt_count: 7 
2025-08-27 18:57:00 | 192.168.1.143 | level: Verde | pkt_count: 22 
2025-08-27 18:57:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-27 18:57:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 18:57:00 | 192.168.1.143 | level: Verde | pkt_count: 51 
2025-08-27 18:57:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-27 18:57:00 | 192.168.1.254 | level: Verde | pkt_count: 16 
2025-08-27 18:57:00 | 54.212.144.253 | level: Verde | pkt_count: 13 
2025-08-27 18:57:00 | 192.168.1.100 | level: Verde | pkt_count: 2 
2025-08-27 18:58:00 | 192.168.1.100 | level: Verde | pkt_count: 8 
2025-08-27 18:57:00 | 192.168.1.143 | level: Verde | pkt_count: 8 
